"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
244,"Hat Creek 2","CA","40.960675000000002","-121.54865700000001",0,0,0,0,0,0,32216
246,"Humboldt Bay","CA","40.741500000000002","-124.2103",0,0,0,0,0,0,346417
248,"Inskip","CA","40.400987999999998","-121.965502",0,0,0,0,0,0,27483
249,"James B Black","CA","40.992294999999999","-121.975182",0,0,0,0,0,0,434190
250,"Kerckhoff","CA","37.092486000000001","-119.552826",0,0,0,0,0,0,0
253,"Kilarc","CA","40.677827000000001","-121.87325300000001",0,0,0,0,0,0,9982
254,"Kings River PH","CA","36.888165999999998","-119.158777",0,0,0,0,0,0,41283
255,"Lime Saddle","CA","39.698754999999998","-121.57096",0,0,0,0,0,0,4223
258,"Merced Falls","CA","37.523009999999999","-120.329905",0,0,0,0,0,0,4334
259,"Dynegy Morro Bay LLC","CA","35.372166999999997","-120.856562",0,0,0,0,0,0,0
260,"Dynegy Moss Landing Power Plant","CA","36.804836999999999","-121.782241",0,0,4152565,0,0,0,0
261,"Murphys","CA","38.147092999999998","-120.44639599999999",0,0,0,0,0,0,11545
262,"Narrows PH","CA","39.236400000000003","-121.27174100000001",0,0,0,0,0,0,25183
264,"Phoenix","CA","38.032102999999999","-120.326537",0,0,0,0,0,0,5091
265,"Pit 1","CA","40.990839999999999","-121.498243",0,0,0,0,0,0,177903
266,"Pit 3","CA","40.997447999999999","-121.74813899999999",0,0,0,0,0,0,214655
267,"Pit 4","CA","40.986361000000002","-121.84944",0,0,0,0,0,0,305937
268,"Pit 5","CA","40.986196999999997","-121.977594",0,0,0,0,0,0,517330
269,"Pit 6","CA","40.922567999999998","-121.992906",0,0,0,0,0,0,278465
270,"Pit 7","CA","40.847462","-121.990798",0,0,0,0,0,0,303928
271,"Pittsburg Power","CA","38.039167999999997","-121.894469",0,0,37947.5,0,37947.5,0,0
272,"Poe","CA","39.722892000000002","-121.469814",0,0,0,0,0,0,312983
274,"Potter Valley","CA","39.361786000000002","-123.127934",0,0,0,0,0,0,11286
275,"Rock Creek","CA","39.905209999999997","-121.345226",0,0,0,0,0,0,236934
