"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption"
2828,"Cardinal","OH","40.252200000000002","-80.648600000000002",3937875775.152
2830,"Walter C Beckjord","OH","38.991700000000002","-84.298100000000005",1505453322.014
2832,"Miami Fort","OH","39.1128","-84.803600000000003",14953521984.624
2840,"Conesville","OH","40.184199999999997","-81.881100000000004",15533404504.444
2850,"J M Stuart","OH","38.636099999999999","-83.693899999999999",3803981890.448
2872,"Muskingum River","OH","39.590800000000002","-81.679699999999997",7930841386.75
2876,"Kyger Creek","OH","38.914400000000001","-82.128900000000002",13377247252.53
2914,"Dover","OH","40.520066","-81.468149999999994",26138171.262
2935,"Orrville","OH","40.850963999999998","-81.765764000000004",509433484.108
2936,"Painesville","OH","41.726500000000001","-81.254000000000005",7127646.516
2951,"Horseshoe Lake","OK","35.508659999999999","-97.179689999999994",750571862
2952,"Muskogee","OK","35.76135","-95.287319999999994",8972762104.152
2953,"Mustang","OK","35.469880000000003","-97.674980000000005",1257176928
2956,"Seminole (OK)","OK","34.966450000000002","-96.725800000000007",985528050
2963,"Northeastern","OK","36.431699999999999","-95.700800000000001",15388206293.94
2964,"Southwestern","OK","35.100900000000003","-98.352400000000003",409700944
2965,"Tulsa","OK","36.116492000000001","-95.990973999999994",187205793.156
3000,"Boomer Lake Station","OK","36.143799999999999","-97.068100000000001",1619352
3006,"Anadarko Plant","OK","35.084699999999998","-98.23",482119815
3008,"Mooreland","OK","36.437249999999999","-99.225430000000003",681382338
3096,"Brunot Island","PA","40.464851000000003","-80.043761000000003",8320299
3118,"Conemaugh","PA","40.3842","-79.061099999999996",8097760541.896
3122,"Homer City Generating Station","PA","40.512824999999999","-79.196106999999998",16862636989.929
3130,"Seward (PA)","PA","40.40625","-79.033659999999998",2012958526.528
3136,"Keystone","PA","40.660400000000003","-79.341099999999997",8481907597.6
3148,"PPL Martins Creek","PA","40.797761999999999","-75.105416000000005",1058953419.968
3149,"PPL Montour","PA","41.071399999999997","-76.667199999999994",5092355290.848
3161,"Eddystone Generating Station","PA","39.857999999999997","-75.322999999999993",78962786.96
3176,"Hunlock Power Station","PA","41.200555999999999","-76.069999999999993",435698151
3264,"W S Lee","SC","34.602200000000003","-82.435000000000002",338654208
3297,"Wateree","SC","33.8264","-80.622799999999998",2700797667.328
3405,"John Sevier","TN","36.3767","-82.963899999999995",1391606357.534
3406,"Johnsonville","TN","36.027799999999999","-87.986099999999993",4216457697.12
3443,"Victoria","TX","28.7883","-97.01",69067009
3456,"Newman","TX","31.983587","-106.431777",1634660393.568
3457,"Lewis Creek","TX","30.435600000000001","-95.5214",942689150
3459,"Sabine","TX","30.0242","-93.878",2955857469.352
3460,"Cedar Bayou","TX","29.75","-94.925600000000003",2188990720
3464,"Greens Bayou","TX","29.822201","-95.219429000000005",22039742
3469,"T H Wharton","TX","29.941700000000001","-95.530600000000007",179972312
