"zips_for_G","gwbr.wc","gwfr.wc","gwnro.wc","gwsa.wc","pdbr.wc","pdfr.wc","pdnro.wc","pdsa.wc","swbr.wc","swfr.wc","swnro.wc","swsa.wc","total.wci","gwbr.wci","gwfr.wci","gwsa.wci","pdfr.wci","swbr.wci","swfr.wci","swsa.wci"
"NEWE",658323.414511582,6911030.66899131,3773579.37191758,812980.410006213,9411.91891874194,5911862.56584985,51581.2371632501,7134.03565233547,13421875.6136656,7378454.91454284,1203097.51271095,30726390.6453474,0.909792741045929,0.00594555928085984,0.0624160429791387,0.00734232311250208,0.0533921907845768,0.121217862470502,0.0666375221183847,0.277501260082488
"NWPP",485892.269732669,81008176.0640296,2718784.63420869,474211.566847128,8232.44027323046,2809854.69357172,44880.1298203356,5790.7663076745,169850.794490588,215559259.629782,939272.304963951,144697.530697944,0.962251356670688,0.00145717577476995,0.24294099550863,0.0014221457108291,0.00842666666079921,0.000509377239512959,0.646455502024514,0.000433943385265382
"NYCW",309703.311495016,2809867.68511136,1748422.09418262,331618.088355869,4947.27969697203,48701.0298338806,27017.3625407675,3568.41011169185,29134662.206195,2714575.94626284,586714.701949988,1491507.89519604,1.03247443256328,0.00748905803663066,0.0679465197432693,0.00801898790718478,0.00117765882808613,0.704516768279164,0.065642232587917,0.0360667412153122
"NYLI",181823.014929242,1269283.09134334,1058163.43520044,254733.89570072,2290.94174492882,21742.6914315189,12612.2071302033,1844.29457505895,56143.4848741405,445784.493468776,319974.98169011,5197577.90310093,0.963867269981674,0.016097433942641,0.11237411680453,0.0225524918316293,0.00192495729536939,0.00497058108635394,0.0394668762865906,0.460159936240512
"NYUP",252029.978838066,4035937.88472462,1413079.97831454,251389.94305819,4214.75841315475,1978058.79589325,22985.8728698896,2981.02068949751,2240615.50436136,27606793.0230125,484987.028158696,75873.5362043207,0.495648449199201,0.0029941655197515,0.047947732686458,0.00298656176930741,0.0234997259850192,0.0266189511148985,0.327974109117909,0.000901392473276205
"RFCE",1025112.58290996,36975366.8552722,5757870.30826901,1041982.1847927,16944.2301859241,2224391.02084368,92439.4899802742,12043.7774410555,66422367.9332427,174360855.641726,1964709.14082242,8584256.86033262,1.40128850528164,0.00378323850781819,0.136459774330814,0.00384549676951388,0.00820924638600404,0.245135670300893,0.643489031660678,0.0316807067403498
"RFCM",305791.780896584,6751774.38305865,1797816.46956247,462877.2193722,3500.78078492722,504344.776483656,19346.3501500854,2957.87665326553,91115.8331109189,40063702.131591,524087.84266701,115936.524768318,0.931800445436702,0.00361146732460296,0.0797399213805358,0.00546668045872404,0.00595642131147043,0.00107609777172313,0.473161020635147,0.00136923552916029
"RFCW",963184.533668026,183549563.641321,5579384.13547891,1299955.10199192,12641.4202658902,3749043.51686288,69488.4300264628,9976.42705172624,302159.421212825,505736852.28484,1715192.42095295,341275.858993132,1.68622692402879,0.00186457500627147,0.355323322597703,0.00251651029239288,0.00725756342073487,0.000584933504442122,0.979027654160541,0.000660656826059193
"RMPA",125701.521404166,7869150.9331102,689106.545387893,95676.7298010435,2405.67139983036,5211903.76696998,13071.8743671261,1610.81716160816,46531.832707104,57245579.992548,254000.114641662,33349.169867512,1.03159786640513,0.00148095428602392,0.0927105151280412,0.00112721677103673,0.0614041193441166,0.000548215457651971,0.674439625701139,0.000392903725419787
"SPNO",49620.2698575672,5770349.27843704,276929.947521667,47067.4552617054,854.609104439846,929752.216539953,4656.84133708623,597.04193354569,17475.9877606763,39273026.3470226,96474.7292022359,14571.089455313,1.02960313881876,0.000843874144124533,0.0981342619179262,0.000800459341295464,0.0158119626965489,0.000297207859945214,0.667902282492722,0.00024780529566566
"SPSO",837062.089648098,13990313.5980804,4814102.40486034,1063979.96097912,11658.0023511659,5801819.6724535,63947.7425757164,8944.59486721259,268903.085698874,143263869.243913,1517405.40412593,286642.107939143,1.20800288513776,0.00495484460383907,0.082813247302368,0.00629804578829583,0.034342870441772,0.00159172541631992,0.848025753677042,0.0016967284975866
"SRMV",1484540.62413622,40491651.4403549,8307327.34104691,1450100.32798326,25139.7244370661,2554004.6681654,137054.189024092,17687.2479520874,5850841.63219921,205355729.751828,2869238.41888682,589769.104932596,1.46759343384569,0.00718659158705833,0.196018186943634,0.00701986772745857,0.0123638169027707,0.02832365013631,0.994117463540222,0.00285504459689788
"SRMW",56705.4847106144,14704146.6437222,322630.595800814,65457.8017463879,857.396082443347,4414045.25442334,4690.27891060857,633.574465884556,18851.6241641747,185587965.321998,105492.968626166,18416.813125945,1.26271616723827,0.000294325994304196,0.076320881540726,0.000339754305642436,0.0229108042201196,9.7848083914379e-05,0.963281818382289,9.55912265430947e-05
"SRSO",953374.057004102,56847036.6581887,5254932.01466401,779572.107992537,17694.6913928103,6539848.12023739,96224.8415564785,11992.0256222151,14344873.3516139,159935908.861454,1904464.76165273,261090.064367167,1.31203068373366,0.00369407460857856,0.220267368457505,0.00302063760654534,0.0253401974885344,0.0555826247024091,0.619709730493001,0.00101165557238017
"SRTV",1100402.89932248,238066909.543833,2363470.31341693,5074687.50646327,5909.82842401818,3224269.4145866,32385.8800434852,4474.89740054177,134050.59166965,269589705.044869,754271.158956296,138783.436839409,2.25522628600958,0.00466693597393959,1.00966929934373,0.0215223366777723,0.0136744995218315,0.000568524064209718,1.14336112114236,0.000588596607998393
"SRVC",917441.631850697,49830819.7295699,4062298.22521972,780786.65518966,11360.4756397392,6243965.07141113,62059.4777336485,8230.7489137009,24656999.581526,283259446.900192,1356483.41410005,23210444.9415724,1.55512513288925,0.00308901605918078,0.16777983148233,0.00262890022966323,0.0210233629137202,0.0830198511102043,0.953731496383363,0.0781493172711357
