"Plant.Id","total.gen","Plant.Name","State","Latitude","Longitude"
318,140967,"Big Creek 2","CA","37.200000000000003","-119.3069"
319,302929,"Big Creek 3","CA","37.148516999999998","-119.386623"
320,133078,"Big Creek 4","CA","37.139000000000003","-119.4898"
321,105736,"Big Creek 8","CA","37.209600000000002","-119.3289"
322,207249,"Big Creek 2A","CA","37.200062000000003","-119.30681"
323,15118,"Bishop Creek 2","CA","37.273581","-118.573339"
324,15001,"Bishop Creek 3","CA","37.301962000000003","-118.53195700000001"
325,25145,"Bishop Creek 4","CA","37.323034999999997","-118.50171400000001"
326,6091,"Bishop Creek 5","CA","37.334400000000002","-118.47969999999999"
327,6753,"Bishop Creek 6","CA","37.349899999999998","-118.4628"
328,-209,"Borel","CA","35.588068999999997","-118.524804"
329,248282,"Coolwater","CA","34.860599999999998","-116.8539"
330,180713,"El Segundo Power","CA","33.909804000000001","-118.424172"
331,212625,"Etiwanda Generating Station","CA","34.091180000000001","-117.52663"
332,1916,"Fontana","CA","34.155161999999997","-117.397119"
335,912234,"AES Huntington Beach LLC","CA","33.643900000000002","-117.97920000000001"
336,4435,"Kaweah 2","CA","36.461326","-118.87988"
337,3559,"Kaweah 1","CA","36.465066","-118.86202299999999"
338,6761,"Kaweah 3","CA","36.486058999999997","-118.835645"
339,368,"Kern River 3","CA","35.776184999999998","-118.436233"
340,101689,"Kern River 1","CA","35.460303000000003","-118.77959"
341,20383,"Long Beach Generation LLC","CA","33.764099999999999","-118.2248"
342,4324,"Lundy","CA","38.042729000000001","-119.172015"
344,217263,"Mammoth Pool","CA","37.220301999999997","-119.33798299999999"
345,146705,"Mandalay","CA","34.206699999999998","-119.25109999999999"
350,228795,"Ormond Beach","CA","34.129199999999997","-119.16889999999999"
353,21226,"Poole","CA","37.944237000000001","-119.2161"
354,22880,"Portal","CA","37.257044999999998","-119.158936"
356,249851,"AES Redondo Beach LLC","CA","33.8504","-118.395"
357,22177,"Rush Creek","CA","37.766953999999998","-119.123284"
358,6172663.1,"Mountainview Generating Station","CA","34.081800000000001","-117.2418"
361,513,"Santa Ana 1","CA","34.145220000000002","-117.058481"
363,1777,"Santa Ana 3","CA","34.107244999999999","-117.099091"
365,6693,"Lower Tule River","CA","36.135680000000001","-118.78886799999999"
371,9497321,"Columbia Generating Station","WA","46.4711","-119.3339"
376,25634,"Pardee","CA","38.256900000000002","-120.8507"
377,159274,"Grayson","CA","34.1556","-118.2782"
378,2524,"Prairie River","MN","47.287205999999998","-93.498266000000001"
380,428782,"Dion R Holm","CA","37.896648999999996","-119.9675"
381,287852,"Moccasin","CA","37.809387999999998","-120.299254"
382,312936,"R C Kirkwood","CA","37.877667000000002","-119.953233"
384,5061425.962,"Joliet 29","IL","41.494636","-88.123827000000006"
385,45567,"Drop 2 (CA)","CA","32.705435000000001","-115.030975"
386,41178,"Drop 3 (CA)","CA","32.705427999999998","-115.126103"
387,96166,"Drop 4","CA","32.705340999999997","-115.219067"
388,22206,"Pilot Knob","CA","32.736642000000003","-114.713858"
389,1165974,"El Centro","CA","32.802222","-115.54"
390,54955,"Solomon Gulch","AK","61.082799999999999","-146.30330000000001"
391,9526,"Big Pine Creek","CA","37.142795","-118.32407499999999"
392,183638,"Castaic","CA","34.587237000000002","-118.656638"
393,2831,"Control Gorge","CA","37.437921000000003","-118.556988"
394,1563,"Cottonwood","CA","36.443421000000001","-118.04389"
396,19917,"Foothill","CA","34.318247999999997","-118.494449"
397,-4,"Franklin (CA)","CA","34.103931000000003","-118.413377"
398,3536,"Haiwee","CA","36.109721999999998","-117.956667"
399,106510,"Harbor","CA","33.785600000000002","-118.26439999999999"
400,2941084,"Haynes","CA","33.764741000000001","-118.09913"
401,22082,"Middle Gorge","CA","37.51","-118.56916699999999"
402,2018,"Pleasant Valley Hydro","CA","37.414160000000003","-118.523889"
403,-28,"San Fernando","CA","34.260527000000003","-118.385531"
404,1133912.01,"Scattergood","CA","33.918151000000002","-118.427648"
406,8902,"Tok","AK","63.3367","-142.98560000000001"
407,27323,"Upper Gorge","CA","37.546036000000001","-118.590001"
408,1566552,"Valley (CA)","CA","34.244990999999999","-118.391327"
409,77225,"Exchequer","CA","37.584344999999999","-120.26859"
410,11144,"McSwain","CA","37.522064999999998","-120.31009"
412,59831,"Chicago Park","CA","39.177903000000001","-120.890856"
413,19912,"Dutch Flat 2","CA","39.218400000000003","-120.8352"
414,15182,"Beardsley","CA","38.202568999999997","-120.076983"
415,134635,"Donnells","CA","38.246656000000002","-120.03407199999999"
416,91491,"Tulloch","CA","37.876111000000002","-120.605"
417,58149,"Forbestown","CA","39.551012","-121.278784"
418,33070,"Kelly Ridge","CA","39.531784000000002","-121.491247"
419,89001,"Woodleaf","CA","39.553811000000003","-121.204077"
420,64791,"Broadway (CA)","CA","34.125399999999999","-118.148"
421,306,"Craig (AK)","AK","55.476399999999998","-133.14830000000001"
422,33607,"Glenarm","CA","34.125999999999998","-118.1494"
423,13,"Hydaburg","AK","55.208100000000002","-132.82669999999999"
