"zips_for_G","gwbr.consumption","gwfr.consumption","gwnro.consumption","gwsa.consumption","pdbr.consumption","pdfr.consumption","pdnro.consumption","pdsa.consumption","swbr.consumption","swnro.consumption","swsa.consumption","total.consumption","swfr.withhydro","Generation","total.wci","gwbr.wci","gwfr.wci","gwnro.wci","gwsa.wci","pdbr.wci","pdfr.wci","pdnro.wci","pdsa.wci","swbr.wci","swfr.wci","swnro.wci","swsa.wci"
"NEWE",658323.414511582,6911030.66899131,3773579.37191758,812980.410006213,9411.91891874194,91194.2269683649,51581.2371632501,7134.03565233547,213768.292677808,1203097.51271095,221834.14156704,13903571.1121119,-50364.1189733045,110725229.27,0.125568230508771,0.00594555928085984,0.0624160429791387,0.0340805740190957,0.00734232311250208,8.50024784847478e-05,0.00082360838238583,0.000465848998492213,6.44300824606048e-05,0.00193061955334986,-0.00045485675943369,0.0108656131998357,0.00200346518159926
"NWPP",485892.269732669,50825460.7337278,2718784.63420869,474211.566847128,8232.44027323046,91616.8939563164,44880.1298203356,5790.7663076745,169850.794490588,939272.304963951,144697.530697944,76523935.8522421,20615245.7872158,333447946.463,0.229492898858603,0.00145717577476995,0.152423972835495,0.0081535503908415,0.0014221457108291,2.46888318268409e-05,0.000274756209861626,0.000134594110704219,1.73663276955195e-05,0.000509377239512959,0.0618244796703324,0.0028168483714689,0.000433943385265382
"NYCW",309703.311495016,2809867.68511136,1748422.09418262,331618.088355869,4947.27969697203,48701.0298338806,27017.3625407675,3568.41011169185,105444.175290896,586714.701949988,96669.8402924168,7038248.81172849,965574.832867016,41354107.55,0.170194673001195,0.00748905803663066,0.0679465197432693,0.0422792848828538,0.00801898790718478,0.000119632123386786,0.00117765882808613,0.000653317509224485,8.62891336096998e-05,0.0025497872288359,0.0233489462128899,0.0141875798248242,0.00233761157039929
"NYLI",181823.014929242,1269283.09134334,1058163.43520044,254733.89570072,2290.94174492882,21742.6914315189,12612.2071302033,1844.29457505895,56143.4848741405,319974.98169011,65836.0095164527,3690232.54160494,445784.493468776,11295155.214,0.326709325519583,0.016097433942641,0.11237411680453,0.0936829477021159,0.0225524918316293,0.000202825167208793,0.00192495729536939,0.00111660325964984,0.000163281915132339,0.00497058108635394,0.0394668762865906,0.028328515689055,0.00582869453930575
"NYUP",252029.978838066,4035937.88472462,1413079.97831454,251389.94305819,4214.75841315475,41739.0966064202,22985.8728698896,2981.02068949751,87580.849136728,484987.028158696,75873.5362043207,-21804391.8502155,-28477191.7972296,84173696.202,-0.259040446529629,0.0029941655197515,0.047947732686458,0.0167876669562357,0.00298656176930741,5.00721555940727e-05,0.000495868644121968,0.000273076672488376,3.54151097552335e-05,0.00104047764430531,-0.338314617061487,0.00576174090056381,0.000901392473276205
"RFCE",1025112.58290996,32595997.2788523,5757870.30826901,1041982.1847927,16944.2301859241,167549.376006233,92439.4899802742,12043.7774410555,354359.894428948,1964709.14082242,311555.228588906,43765823.1735158,425259.681238096,270961659.116,0.161520354268201,0.00378323850781819,0.120297452359848,0.0212497603057709,0.00384549676951388,6.25336818544876e-05,0.000618350863929808,0.000341153395214119,4.44482716866578e-05,0.00130778611108683,0.00156944596008707,0.00725087507668867,0.00114981296470261
"RFCM",305791.780896584,5234335.93008104,1797816.46956247,462877.2193722,3500.78078492722,32636.003411567,19346.3501500854,2957.87665326553,91115.8331109189,524087.84266701,115936.524768318,-6339634.29686784,-14930036.9083262,84672448.457,-0.0748724574805151,0.00361146732460296,0.0618186437910703,0.0212326028398183,0.00546668045872404,4.13449811446642e-05,0.000385438286081226,0.000228484595669986,3.49331654766976e-05,0.00107609777172313,-0.176326977433613,0.00618959120962662,0.00136923552916029
"RFCW",963184.533668026,179814575.481864,5579384.13547891,1299955.10199192,12641.4202658902,120821.514637053,69488.4300264628,9976.42705172624,302159.421212825,1715192.42095295,341275.858993132,222418971.329919,32190316.5837764,516570548.478,0.430568432492414,0.00186457500627147,0.348092968156356,0.0108008173364079,0.00251651029239288,2.4471817650341e-05,0.000233891604918314,0.000134518760760172,1.93128065103989e-05,0.000584933504442122,0.0623154314132319,0.00332034496741349,0.000660656826059193
"RMPA",125701.521404166,4887368.6682941,689106.545387893,95676.7298010435,2405.67139983036,24206.0271991666,13071.8743671261,1610.81716160816,46531.832707104,254000.114641662,33349.169867512,3816292.43119881,-2356736.54103241,84878731.633,0.0449617042782844,0.00148095428602392,0.0575806044018916,0.00811871869583847,0.00112721677103673,2.83424522674542e-05,0.0002851836583024,0.000154006476247153,1.89778656044606e-05,0.000548215457651971,-0.0277659255232807,0.00299250601128103,0.000392903725419787
"SPNO",49620.2698575672,1049781.78220732,276929.947521667,47067.4552617054,854.609104439846,8494.50944003285,4656.84133708623,597.04193354569,17475.9877606763,96474.7292022359,14571.089455313,1797128.61302857,230604.349946985,58800557.172,0.0305631221787867,0.000843874144124533,0.017853262497778,0.00470964835778013,0.000800459341295464,1.4534030722532e-05,0.000144463077368216,7.91972314728975e-05,1.01536781666755e-05,0.000297207859945214,0.00392180552426457,0.00164071114020287,0.00024780529566566
