"Plant.Code","Plant.Name","State","Latitude","Longitude","total.wc"
88,"Ashokan","NY","41.948999999999998","-74.206299999999999",0
90,"Snake River","AK","64.505923999999993","-165.429384",6890279.17440036
91,"Petersburg","AK","56.811039999999998","-132.95709099999999",196443.89525099
92,"Seward (AK)","AK","60.1083","-149.4417",28900.0416215001
93,"Riley#03a","AK","57.051600000000001","-135.22970000000001",0
95,"Wrangell","AK","56.452199999999998","-132.3683",237184.042030197
96,"Beluga","AK","61.186100000000003","-151.03559999999999",115872759.984869
99,"Frederickson","WA","47.079721999999997","-122.36499999999999",4202573.34926962
100,"South Consolidated","AZ","33.466476999999998","-111.781064",0
104,"J S Eastwood","CA","37.147925999999998","-119.2567",0
108,"Holcomb","KS","37.930799999999998","-100.9725",219596166.598655
109,"Dillingham","AK","59.6708","-157.88999999999999",4522461.84359284
112,"Childs","AZ","34.351111000000003","-111.70055600000001",NA
113,"Cholla","AZ","34.939399999999999","-110.30329999999999",1364099448.65767
114,"Douglas","AZ","31.364121999999998","-109.5538",140960.907856057
115,"Irving","AZ","34.402222000000002","-111.617222",NA
116,"Ocotillo","AZ","33.422499999999999","-111.9122",8425484.57785552
117,"West Phoenix","AZ","33.441699999999997","-112.1583",126668486.182513
118,"Saguaro","AZ","32.551699999999997","-111.3",1707798.23431106
120,"Yucca","AZ","32.721400000000003","-114.7106",35935935.4594506
124,"Demoss Petrie","AZ","32.252273000000002","-110.992148",763624.018925397
126,"H Wilson Sundt Generating Station","AZ","32.159999999999997","-110.90470000000001",64241200.0086434
127,"Oklaunion","TX","34.082500000000003","-99.175299999999993",331617722.125455
130,"Cross","SC","33.371389000000001","-80.113332999999997",5461058953.67224
136,"Seminole (FL)","FL","29.733056000000001","-81.632778000000002",3819668289.9301
141,"Agua Fria","AZ","33.556100000000001","-112.2153",2819533.62060808
143,"Crosscut","AZ","33.439374999999998","-111.94605199999999",NA
145,"Horse Mesa","AZ","33.590699999999998","-111.34399999999999",0
147,"Kyrene","AZ","33.355600000000003","-111.9353",48003238.9709565
148,"Mormon Flat","AZ","33.553600000000003","-111.4431",0
149,"Roosevelt","AZ","33.671104","-111.16178600000001",0
150,"Stewart Mountain","AZ","33.566099999999999","-111.536",0
151,"McClure","CA","37.629359999999998","-120.93138999999999",945120.314828941
152,"Davis Dam","AZ","35.197043999999998","-114.570669",0
153,"Glen Canyon Dam","AZ","36.936613999999999","-111.48387200000001",0
154,"Hoover Dam (NV)","NV","36.015509999999999","-114.738006",0
159,"Lake Creek Dam","UT","40.493631000000001","-111.312506",0
160,"Apache Station","AZ","32.060299999999998","-109.8931",461047794.750109
161,"Turlock Lake","CA","37.611460999999998","-120.594678",0
162,"Hickman","CA","37.621535999999999","-120.746247",0
164,"Big Pine","FL","24.579167000000002","-81.685000000000002",NA
165,"GREC","OK","36.190277999999999","-95.289400000000001",549753352.99397
166,"Carpenter","AR","34.442500000000003","-93.026200000000003",0
167,"Cecil Lynch","AR","34.753500000000003","-92.198700000000002",0
168,"Hamilton Moses","AR","34.980600000000003","-90.872200000000007",NA
169,"Harvey Couch","AR","33.359200000000001","-93.4649",0
170,"Lake Catherine","AR","34.434100000000001","-92.904899999999998",9156117.73605283
171,"Mabelvale","AR","34.635997000000003","-92.409602000000007",69250.4147136665
172,"Osceola (AR)","AR","35.697499999999998","-90.005300000000005",0
173,"Robert E Ritchie","AR","34.462899999999998","-90.598699999999994",NA
174,"Remmel","AR","34.427199999999999","-92.894099999999995",0
180,"Volta 2","CA","40.451929999999997","-121.86215",0
182,"Beaver Dam","AR","36.421506999999998","-93.847373000000005",0
187,"Degray","AR","34.211913000000003","-93.110962999999998",0
188,"Greers Ferry Lake","AR","35.520699999999998","-91.9953",0
